time,subject,fuzzer,run,state_type,state
1764435354,proftpd,aflnet,1,nodes,13
1764435354,proftpd,aflnet,1,edges,23
1764435359,proftpd,aflnet,1,nodes,13
1764435359,proftpd,aflnet,1,edges,23
1764435364,proftpd,aflnet,1,nodes,13
1764435364,proftpd,aflnet,1,edges,23
1764435369,proftpd,aflnet,1,nodes,14
1764435369,proftpd,aflnet,1,edges,26
1764435374,proftpd,aflnet,1,nodes,14
1764435374,proftpd,aflnet,1,edges,26
1764435379,proftpd,aflnet,1,nodes,14
1764435379,proftpd,aflnet,1,edges,27
1764435385,proftpd,aflnet,1,nodes,14
1764435385,proftpd,aflnet,1,edges,27
1764435390,proftpd,aflnet,1,nodes,14
1764435390,proftpd,aflnet,1,edges,27
1764435395,proftpd,aflnet,1,nodes,14
1764435395,proftpd,aflnet,1,edges,27
1764435400,proftpd,aflnet,1,nodes,14
1764435400,proftpd,aflnet,1,edges,29
1764435405,proftpd,aflnet,1,nodes,14
1764435405,proftpd,aflnet,1,edges,30
1764435410,proftpd,aflnet,1,nodes,14
1764435410,proftpd,aflnet,1,edges,30
1764435415,proftpd,aflnet,1,nodes,14
1764435415,proftpd,aflnet,1,edges,30
1764435420,proftpd,aflnet,1,nodes,14
1764435420,proftpd,aflnet,1,edges,30
1764435430,proftpd,aflnet,1,nodes,14
1764435430,proftpd,aflnet,1,edges,30
1764435435,proftpd,aflnet,1,nodes,14
1764435435,proftpd,aflnet,1,edges,30
1764435441,proftpd,aflnet,1,nodes,14
1764435441,proftpd,aflnet,1,edges,30
1764435451,proftpd,aflnet,1,nodes,14
1764435451,proftpd,aflnet,1,edges,30
1764435456,proftpd,aflnet,1,nodes,14
1764435456,proftpd,aflnet,1,edges,31
1764435466,proftpd,aflnet,1,nodes,14
1764435466,proftpd,aflnet,1,edges,31
1764435471,proftpd,aflnet,1,nodes,14
1764435471,proftpd,aflnet,1,edges,31
1764435476,proftpd,aflnet,1,nodes,14
1764435476,proftpd,aflnet,1,edges,31
1764435487,proftpd,aflnet,1,nodes,14
1764435487,proftpd,aflnet,1,edges,31
1764435497,proftpd,aflnet,1,nodes,14
1764435497,proftpd,aflnet,1,edges,31
1764435502,proftpd,aflnet,1,nodes,14
1764435502,proftpd,aflnet,1,edges,31
1764435507,proftpd,aflnet,1,nodes,14
1764435507,proftpd,aflnet,1,edges,31
1764435512,proftpd,aflnet,1,nodes,14
1764435512,proftpd,aflnet,1,edges,31
1764435517,proftpd,aflnet,1,nodes,14
1764435517,proftpd,aflnet,1,edges,33
1764435523,proftpd,aflnet,1,nodes,14
1764435523,proftpd,aflnet,1,edges,33
1764435528,proftpd,aflnet,1,nodes,14
1764435528,proftpd,aflnet,1,edges,33
1764435533,proftpd,aflnet,1,nodes,14
1764435533,proftpd,aflnet,1,edges,33
1764435543,proftpd,aflnet,1,nodes,14
1764435543,proftpd,aflnet,1,edges,33
1764435549,proftpd,aflnet,1,nodes,14
1764435549,proftpd,aflnet,1,edges,33
1764435554,proftpd,aflnet,1,nodes,14
1764435554,proftpd,aflnet,1,edges,33
1764435564,proftpd,aflnet,1,nodes,14
1764435564,proftpd,aflnet,1,edges,33
1764435569,proftpd,aflnet,1,nodes,14
1764435569,proftpd,aflnet,1,edges,34
1764435574,proftpd,aflnet,1,nodes,14
1764435574,proftpd,aflnet,1,edges,34
1764435579,proftpd,aflnet,1,nodes,14
1764435579,proftpd,aflnet,1,edges,34
1764435584,proftpd,aflnet,1,nodes,14
1764435584,proftpd,aflnet,1,edges,34
1764435590,proftpd,aflnet,1,nodes,14
1764435590,proftpd,aflnet,1,edges,35
1764435600,proftpd,aflnet,1,nodes,14
1764435600,proftpd,aflnet,1,edges,35
1764435605,proftpd,aflnet,1,nodes,14
1764435605,proftpd,aflnet,1,edges,35
1764435610,proftpd,aflnet,1,nodes,14
1764435610,proftpd,aflnet,1,edges,35
1764435620,proftpd,aflnet,1,nodes,14
1764435620,proftpd,aflnet,1,edges,35
1764435630,proftpd,aflnet,1,nodes,14
1764435630,proftpd,aflnet,1,edges,35
1764435635,proftpd,aflnet,1,nodes,14
1764435635,proftpd,aflnet,1,edges,35
1764435641,proftpd,aflnet,1,nodes,14
1764435641,proftpd,aflnet,1,edges,35
1764435646,proftpd,aflnet,1,nodes,14
1764435646,proftpd,aflnet,1,edges,35
1764435651,proftpd,aflnet,1,nodes,14
1764435651,proftpd,aflnet,1,edges,36
1764435656,proftpd,aflnet,1,nodes,16
1764435656,proftpd,aflnet,1,edges,40
1764435666,proftpd,aflnet,1,nodes,16
1764435666,proftpd,aflnet,1,edges,41
1764435676,proftpd,aflnet,1,nodes,16
1764435676,proftpd,aflnet,1,edges,44
1764435687,proftpd,aflnet,1,nodes,16
1764435687,proftpd,aflnet,1,edges,45
1764435692,proftpd,aflnet,1,nodes,16
1764435692,proftpd,aflnet,1,edges,49
1764435703,proftpd,aflnet,1,nodes,16
1764435703,proftpd,aflnet,1,edges,49
1764435708,proftpd,aflnet,1,nodes,16
1764435708,proftpd,aflnet,1,edges,49
1764435714,proftpd,aflnet,1,nodes,16
1764435714,proftpd,aflnet,1,edges,49
1764435719,proftpd,aflnet,1,nodes,16
1764435719,proftpd,aflnet,1,edges,49
1764435724,proftpd,aflnet,1,nodes,16
1764435724,proftpd,aflnet,1,edges,49
1764435734,proftpd,aflnet,1,nodes,16
1764435734,proftpd,aflnet,1,edges,49
1764435739,proftpd,aflnet,1,nodes,16
1764435739,proftpd,aflnet,1,edges,50
1764435745,proftpd,aflnet,1,nodes,17
1764435745,proftpd,aflnet,1,edges,53
1764435750,proftpd,aflnet,1,nodes,17
1764435750,proftpd,aflnet,1,edges,55
1764435755,proftpd,aflnet,1,nodes,17
1764435755,proftpd,aflnet,1,edges,55
1764435761,proftpd,aflnet,1,nodes,17
1764435761,proftpd,aflnet,1,edges,55
1764435766,proftpd,aflnet,1,nodes,17
1764435766,proftpd,aflnet,1,edges,55
1764435771,proftpd,aflnet,1,nodes,17
1764435771,proftpd,aflnet,1,edges,55
1764435777,proftpd,aflnet,1,nodes,17
1764435777,proftpd,aflnet,1,edges,55
1764435782,proftpd,aflnet,1,nodes,17
1764435782,proftpd,aflnet,1,edges,55
1764435787,proftpd,aflnet,1,nodes,17
1764435787,proftpd,aflnet,1,edges,55
1764435797,proftpd,aflnet,1,nodes,17
1764435797,proftpd,aflnet,1,edges,55
1764435802,proftpd,aflnet,1,nodes,17
1764435802,proftpd,aflnet,1,edges,55
1764435813,proftpd,aflnet,1,nodes,17
1764435813,proftpd,aflnet,1,edges,55
1764435824,proftpd,aflnet,1,nodes,17
1764435824,proftpd,aflnet,1,edges,58
1764435829,proftpd,aflnet,1,nodes,17
1764435829,proftpd,aflnet,1,edges,59
1764435834,proftpd,aflnet,1,nodes,17
1764435834,proftpd,aflnet,1,edges,59
1764435840,proftpd,aflnet,1,nodes,17
1764435840,proftpd,aflnet,1,edges,59
1764435850,proftpd,aflnet,1,nodes,17
1764435850,proftpd,aflnet,1,edges,61
1764435855,proftpd,aflnet,1,nodes,17
1764435855,proftpd,aflnet,1,edges,62
1764435860,proftpd,aflnet,1,nodes,17
1764435860,proftpd,aflnet,1,edges,62
1764435865,proftpd,aflnet,1,nodes,17
1764435865,proftpd,aflnet,1,edges,63
1764435882,proftpd,aflnet,1,nodes,17
1764435882,proftpd,aflnet,1,edges,63
1764435887,proftpd,aflnet,1,nodes,17
1764435887,proftpd,aflnet,1,edges,63
1764435892,proftpd,aflnet,1,nodes,17
1764435892,proftpd,aflnet,1,edges,63
1764435897,proftpd,aflnet,1,nodes,17
1764435897,proftpd,aflnet,1,edges,67
1764435903,proftpd,aflnet,1,nodes,17
1764435903,proftpd,aflnet,1,edges,67
1764435909,proftpd,aflnet,1,nodes,17
1764435909,proftpd,aflnet,1,edges,67
1764435914,proftpd,aflnet,1,nodes,17
1764435914,proftpd,aflnet,1,edges,67
1764435919,proftpd,aflnet,1,nodes,17
1764435919,proftpd,aflnet,1,edges,67
1764435924,proftpd,aflnet,1,nodes,17
1764435924,proftpd,aflnet,1,edges,67
1764435929,proftpd,aflnet,1,nodes,17
1764435929,proftpd,aflnet,1,edges,67
